Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2050 [YR2050]
Mexico,MEX,"Population, total",SP.POP.TOTL,128933000,155151000
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,115000,139000
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,464460000,661223000
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,396157000,574137000
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,391344000,565370000
Middle income,MIC,"Population, total",SP.POP.TOTL,5791067000,6972105000
Moldova,MDA,"Population, total",SP.POP.TOTL,3525000,2871000
Monaco,MCO,"Population, total",SP.POP.TOTL,39000,46000
Mongolia,MNG,"Population, total",SP.POP.TOTL,3278000,4449000
Montenegro,MNE,"Population, total",SP.POP.TOTL,622000,579000
Morocco,MAR,"Population, total",SP.POP.TOTL,36911000,46166000
Mozambique,MOZ,"Population, total",SP.POP.TOTL,31255000,65313000
Myanmar,MMR,"Population, total",SP.POP.TOTL,54410000,62253000
Namibia,NAM,"Population, total",SP.POP.TOTL,2541000,3981000
Nauru,NRU,"Population, total",SP.POP.TOTL,13000,13000
Nepal,NPL,"Population, total",SP.POP.TOTL,29137000,35324000
Netherlands,NLD,"Population, total",SP.POP.TOTL,17330000,17723000
New Caledonia,NCL,"Population, total",SP.POP.TOTL,291000,380000
New Zealand,NZL,"Population, total",SP.POP.TOTL,4971000,5810000
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6625000,8531000
Niger,NER,"Population, total",SP.POP.TOTL,24207000,65593000
Nigeria,NGA,"Population, total",SP.POP.TOTL,206140000,401315000
North America,NAC,"Population, total",SP.POP.TOTL,369599000,430739000
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2083000,1857000
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,58000,62000
Norway,NOR,"Population, total",SP.POP.TOTL,5422000,6525000
Not classified,INX,"Population, total",SP.POP.TOTL,0,0
OECD members,OED,"Population, total",SP.POP.TOTL,1315534000,1404509000
Oman,OMN,"Population, total",SP.POP.TOTL,5107000,6915000
Other small states,OSS,"Population, total",SP.POP.TOTL,31882000,46242000
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2530000,3757000
Pakistan,PAK,"Population, total",SP.POP.TOTL,220892000,338013000
Palau,PLW,"Population, total",SP.POP.TOTL,18000,18000
Panama,PAN,"Population, total",SP.POP.TOTL,4315000,5853000
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8947000,14204000
Paraguay,PRY,"Population, total",SP.POP.TOTL,7133000,9102000
Peru,PER,"Population, total",SP.POP.TOTL,32972000,40374000
Philippines,PHL,"Population, total",SP.POP.TOTL,109581000,144488000
Poland,POL,"Population, total",SP.POP.TOTL,37806000,32234000
Portugal,PRT,"Population, total",SP.POP.TOTL,10195000,9119000
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1116268000,1155552000
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,970795000,1935786000
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3184000,2819000
Qatar,QAT,"Population, total",SP.POP.TOTL,2881000,3851000
Romania,ROU,"Population, total",SP.POP.TOTL,19247000,16011000
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144222000,132649000
Rwanda,RWA,"Population, total",SP.POP.TOTL,12952000,23048000
Samoa,WSM,"Population, total",SP.POP.TOTL,198000,267000
San Marino,SMR,"Population, total",SP.POP.TOTL,34000,34000
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,219000,394000
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,34814000,44562000
Senegal,SEN,"Population, total",SP.POP.TOTL,16744000,33187000
Serbia,SRB,"Population, total",SP.POP.TOTL,6929000,5842000
Seychelles,SYC,"Population, total",SP.POP.TOTL,98000,98000
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7977000,12945000
Singapore,SGP,"Population, total",SP.POP.TOTL,5772000,6312000
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,0,0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5448000,4944000
Slovenia,SVN,"Population, total",SP.POP.TOTL,2067000,1914000
Small states,SST,"Population, total",SP.POP.TOTL,41855000,57764000
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,687000,1290000
Somalia,SOM,"Population, total",SP.POP.TOTL,15893000,34922000
South Africa,ZAF,"Population, total",SP.POP.TOTL,59309000,75518000
South Asia,SAS,"Population, total",SP.POP.TOTL,1856800000,2292825000
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1856800000,2292825000
South Sudan,SSD,"Population, total",SP.POP.TOTL,11194000,19963000
Spain,ESP,"Population, total",SP.POP.TOTL,46711000,44807000
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21837000,21570000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,53000,56000
St. Lucia,LCA,"Population, total",SP.POP.TOTL,184000,182000
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,0,0
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,111000,109000
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1136052000,2196138000
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1135954000,2196040000
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1136052000,2196138000
Sudan,SDN,"Population, total",SP.POP.TOTL,43849000,81193000
Suriname,SUR,"Population, total",SP.POP.TOTL,587000,680000
Sweden,SWE,"Population, total",SP.POP.TOTL,10319000,12007000
Switzerland,CHE,"Population, total",SP.POP.TOTL,8641000,9727000
